"","months_as_customer","age","policy_number","policy_bind_date","insured_zip","insured_sex","insured_education_level","insured_occupation","insured_relationship","incident_date","incident_type","collision_type","incident_severity","incident_state","incident_city","incident_hour_of_the_day","number_of_vehicles_involved","total_claim_amount","auto_make","auto_model","auto_year","fraud_reported"
"1",328,48,521585,2014-10-17,466132,"MALE","MD","craft-repair","husband",2015-01-25,"Single Vehicle Collision","Side Collision","Major Damage","SC","Columbus",5,"1",564,"Saab","92x",2004,1
"2",228,42,342868,2006-06-27,468176,"MALE","MD","machine-op-inspct","other-relative",2015-01-21,"Vehicle Theft","No collision","Minor Damage","VA","Riverwood",8,"1",45,"Mercedes","E400",2007,1
"3",134,29,687698,2000-09-06,430632,"FEMALE","PhD","sales","own-child",2015-02-22,"Multi-vehicle Collision","Rear Collision","Minor Damage","NY","Columbus",7,"3",144,"Dodge","RAM",2007,0
"4",256,41,227811,1990-05-25,608117,"FEMALE","PhD","armed-forces","unmarried",2015-01-10,"Single Vehicle Collision","Front Collision","Major Damage","OH","Arlington",5,"1",452,"Chevrolet","Tahoe",2014,1
"5",228,44,367455,2014-06-06,610706,"MALE","Associate","sales","unmarried",2015-02-17,"Vehicle Theft","No collision","Minor Damage","NY","Arlington",20,"1",82,"Accura","RSX",2009,0
"6",256,39,104594,2006-10-12,478456,"FEMALE","PhD","tech-support","unmarried",2015-01-02,"Multi-vehicle Collision","Rear Collision","Major Damage","SC","Arlington",19,"3",464,"Saab","95",2003,1
"7",137,34,413978,2000-06-04,441716,"MALE","PhD","prof-specialty","husband",2015-01-13,"Multi-vehicle Collision","Front Collision","Minor Damage","NY","Springfield",0,"3",643,"Nissan","Pathfinder",2012,0
"8",165,37,429027,1990-02-03,603195,"MALE","Associate","tech-support","unmarried",2015-02-27,"Multi-vehicle Collision","Front Collision","Total Loss","VA","Columbus",23,"3",278,"Audi","A5",2015,0
"9",27,33,485665,1997-02-05,601734,"FEMALE","PhD","other-service","own-child",2015-01-30,"Single Vehicle Collision","Front Collision","Total Loss","WV","Arlington",21,"1",122,"Toyota","Camry",2012,0
"10",212,42,636550,2011-07-25,600983,"MALE","PhD","priv-house-serv","wife",2015-01-05,"Single Vehicle Collision","Rear Collision","Total Loss","NC","Hillsdale",14,"1",188,"Saab","92x",1996,0
"11",235,42,543610,2002-05-26,462283,"FEMALE","Masters","exec-managerial","other-relative",2015-01-06,"Single Vehicle Collision","Front Collision","Total Loss","NY","Northbend",22,"1",704,"Ford","F150",2002,0
"12",447,61,214618,1999-05-29,615561,"FEMALE","High School","exec-managerial","other-relative",2015-02-15,"Multi-vehicle Collision","Front Collision","Major Damage","SC","Springfield",21,"3",763,"Audi","A3",2006,0
"13",60,23,842643,1997-11-20,432220,"MALE","MD","protective-serv","wife",2015-01-22,"Single Vehicle Collision","Rear Collision","Total Loss","SC","Northbend",9,"1",354,"Saab","95",2000,0
"14",121,34,626808,2012-10-26,464652,"FEMALE","MD","armed-forces","wife",2015-01-08,"Parked Car","No collision","Minor Damage","SC","Springfield",5,"1",95,"Toyota","Highlander",2010,0
"15",180,38,644081,1998-12-28,476685,"FEMALE","College","machine-op-inspct","not-in-family",2015-01-15,"Single Vehicle Collision","Rear Collision","Total Loss","SC","Springfield",12,"1",221,"Dodge","Neon",2003,1
"16",473,58,892874,1992-10-19,458733,"FEMALE","MD","transport-moving","other-relative",2015-01-29,"Multi-vehicle Collision","Side Collision","Major Damage","WV","Hillsdale",12,"4",448,"Accura","MDX",1999,1
"17",70,26,558938,2005-06-08,619884,"MALE","College","machine-op-inspct","own-child",2015-02-22,"Multi-vehicle Collision","Rear Collision","Major Damage","NY","Riverwood",0,"3",289,"Nissan","Maxima",2012,0
"18",140,31,275265,2004-11-15,470610,"MALE","High School","machine-op-inspct","unmarried",2015-01-06,"Single Vehicle Collision","Side Collision","Total Loss","WV","Northbend",9,"1",632,"Suburu","Legacy",2015,0
"19",160,37,921202,2014-12-28,472135,"FEMALE","MD","craft-repair","other-relative",2015-01-19,"Single Vehicle Collision","Side Collision","Total Loss","NY","Northbrook",19,"1",578,"Accura","TL",2015,0
"20",196,39,143972,1992-08-02,477670,"FEMALE","High School","handlers-cleaners","own-child",2015-02-22,"Multi-vehicle Collision","Side Collision","Major Damage","VA","Columbus",8,"3",408,"Nissan","Pathfinder",2014,0
"21",460,62,183430,2002-06-25,618845,"MALE","JD","other-service","own-child",2015-01-01,"Multi-vehicle Collision","Rear Collision","Minor Damage","NY","Columbus",20,"3",227,"Suburu","Impreza",2011,0
"22",217,41,431876,2005-11-27,442479,"FEMALE","Associate","machine-op-inspct","own-child",2015-02-10,"Multi-vehicle Collision","Side Collision","Total Loss","SC","Arlington",15,"3",161,"Accura","RSX",1996,0
"23",370,55,285496,1994-05-27,443920,"MALE","High School","prof-specialty","other-relative",2015-01-11,"Multi-vehicle Collision","Rear Collision","Major Damage","SC","Hillsdale",20,"3",563,"Suburu","Forrestor",2000,1
"24",413,55,115399,1991-02-08,453148,"MALE","MD","priv-house-serv","own-child",2015-01-19,"Single Vehicle Collision","Front Collision","Total Loss","WV","Northbend",15,"1",745,"Dodge","RAM",2011,1
"25",237,40,736882,1996-02-02,434733,"MALE","College","craft-repair","husband",2015-02-24,"Single Vehicle Collision","Rear Collision","Minor Damage","VA","Riverwood",6,"1",632,"Ford","Escape",2005,0
"26",8,35,699044,2013-12-05,613982,"MALE","Masters","sales","own-child",2015-01-09,"Multi-vehicle Collision","Rear Collision","Major Damage","OH","Arlington",16,"3",562,"Ford","Escape",2006,1
"27",257,43,863236,1990-09-20,436984,"MALE","High School","prof-specialty","own-child",2015-01-28,"Parked Car","No collision","Minor Damage","PA","Arlington",4,"1",114,"Toyota","Camry",2005,0
"28",202,34,608513,2002-07-18,607730,"MALE","JD","exec-managerial","not-in-family",2015-01-07,"Vehicle Theft","No collision","Minor Damage","VA","Northbrook",5,"1",63,"Suburu","Forrestor",2003,1
"29",224,40,914088,1990-02-08,609837,"FEMALE","JD","sales","not-in-family",2015-01-08,"Single Vehicle Collision","Side Collision","Minor Damage","SC","Northbend",21,"1",540,"Dodge","Neon",2009,0
"30",241,45,596785,2014-03-04,432211,"FEMALE","PhD","machine-op-inspct","unmarried",2015-02-15,"Single Vehicle Collision","Rear Collision","Minor Damage","SC","Northbrook",5,"1",732,"Accura","TL",2011,0
"31",64,25,908616,2000-02-18,473328,"MALE","Masters","prof-specialty","husband",2015-01-18,"Multi-vehicle Collision","Side Collision","Major Damage","SC","Columbus",22,"4",604,"Toyota","Corolla",2005,0
"32",166,37,666333,2008-06-19,610393,"MALE","JD","craft-repair","husband",2015-02-28,"Multi-vehicle Collision","Side Collision","Major Damage","WV","Riverwood",10,"3",503,"Ford","F150",2006,1
"33",155,35,336614,2003-08-01,614780,"FEMALE","Associate","adm-clerical","other-relative",2015-02-24,"Multi-vehicle Collision","Front Collision","Total Loss","NY","Arlington",16,"3",127,"BMW","3 Series",2008,0
"34",114,30,584859,1992-04-04,472248,"MALE","High School","farming-fishing","wife",2015-01-09,"Multi-vehicle Collision","Front Collision","Major Damage","NY","Hillsdale",1,"3",623,"Suburu","Impreza",2015,0
"35",149,37,990493,1991-01-13,603381,"MALE","PhD","prof-specialty","own-child",2015-02-12,"Single Vehicle Collision","Side Collision","Total Loss","WV","Hillsdale",17,"1",475,"Audi","A3",1999,0
"36",147,33,129872,2010-08-08,479224,"MALE","High School","craft-repair","not-in-family",2015-01-24,"Single Vehicle Collision","Front Collision","Major Damage","WV","Springfield",15,"1",301,"Mercedes","C300",1995,1
"37",62,28,200152,2003-03-09,430141,"FEMALE","Masters","protective-serv","unmarried",2015-01-09,"Single Vehicle Collision","Rear Collision","Total Loss","NY","Northbrook",3,"1",404,"Suburu","Forrestor",2004,1
"38",289,49,933293,1993-02-03,620757,"FEMALE","JD","priv-house-serv","unmarried",2015-01-18,"Parked Car","No collision","Minor Damage","WV","Arlington",16,"1",52,"Suburu","Legacy",2001,0
"39",431,54,485664,2002-11-25,615901,"FEMALE","MD","craft-repair","unmarried",2015-01-21,"Multi-vehicle Collision","Rear Collision","Major Damage","NY","Hillsdale",4,"3",436,"Jeep","Wrangler",2007,0
"40",199,37,982871,1997-07-27,474615,"MALE","JD","tech-support","wife",2015-01-08,"Single Vehicle Collision","Front Collision","Major Damage","NC","Columbus",4,"1",402,"Nissan","Pathfinder",2011,1
"41",79,26,206213,1995-05-08,456446,"MALE","Associate","tech-support","not-in-family",2015-01-03,"Single Vehicle Collision","Rear Collision","Minor Damage","WV","Columbus",19,"1",170,"BMW","M5",2010,0
"42",116,34,616337,2012-08-30,470577,"MALE","Associate","transport-moving","unmarried",2015-01-01,"Single Vehicle Collision","Side Collision","Major Damage","WV","Northbrook",1,"1",744,"BMW","X5",2001,1
"43",37,23,448961,2006-04-30,441648,"FEMALE","College","prof-specialty","husband",2015-01-16,"Multi-vehicle Collision","Side Collision","Minor Damage","SC","Springfield",17,"3",280,"Dodge","RAM",2010,0
"44",106,30,790442,2003-04-13,433782,"FEMALE","PhD","transport-moving","own-child",2015-02-10,"Single Vehicle Collision","Rear Collision","Total Loss","NC","Arlington",23,"1",270,"Mercedes","E400",2005,0
"45",269,44,108844,2007-12-05,468104,"MALE","JD","priv-house-serv","unmarried",2015-02-14,"Single Vehicle Collision","Front Collision","Minor Damage","SC","Springfield",14,"1",352,"Toyota","Highlander",2014,0
"46",265,40,430029,2006-08-21,459407,"FEMALE","MD","protective-serv","husband",2015-02-21,"Multi-vehicle Collision","Rear Collision","Total Loss","NY","Arlington",17,"3",333,"Accura","MDX",2002,0
"47",163,33,529112,1990-01-08,472573,"FEMALE","Associate","other-service","husband",2015-02-18,"Multi-vehicle Collision","Rear Collision","Total Loss","NC","Northbend",11,"3",623,"Honda","Civic",2014,0
"48",355,47,939631,1990-03-18,433473,"MALE","College","other-service","husband",2015-01-10,"Multi-vehicle Collision","Front Collision","Major Damage","WV","Arlington",19,"3",441,"Audi","A3",2003,1
"49",175,34,866931,2008-01-07,446326,"FEMALE","PhD","protective-serv","other-relative",2015-02-26,"Vehicle Theft","No collision","Trivial Damage","NY","Arlington",5,"1",96,"Volkswagen","Passat",1995,0
"50",192,35,582011,1997-03-10,435481,"FEMALE","Masters","exec-managerial","wife",2015-01-01,"Single Vehicle Collision","Rear Collision","Total Loss","WV","Springfield",19,"1",615,"Mercedes","C300",2000,0
"51",430,59,691189,2004-01-10,477310,"MALE","MD","other-service","own-child",2015-01-03,"Multi-vehicle Collision","Front Collision","Minor Damage","NY","Riverwood",19,"3",673,"Nissan","Pathfinder",1998,0
"52",91,27,537546,1994-08-20,609930,"FEMALE","JD","farming-fishing","husband",2015-01-17,"Vehicle Theft","No collision","Trivial Damage","NY","Arlington",4,"1",94,"BMW","M5",2008,0
"53",217,39,394975,2002-06-02,603993,"MALE","College","armed-forces","not-in-family",2015-02-22,"Vehicle Theft","No collision","Minor Damage","WV","Northbend",8,"1",30,"Toyota","Corolla",2000,0
"54",223,40,729634,1994-04-28,437818,"FEMALE","JD","priv-house-serv","husband",2015-01-27,"Multi-vehicle Collision","Side Collision","Major Damage","NC","Columbus",7,"3",548,"Suburu","Forrestor",1999,0
"55",195,39,282195,2014-08-17,478423,"MALE","PhD","machine-op-inspct","not-in-family",2015-02-27,"Parked Car","No collision","Minor Damage","VA","Northbend",5,"1",7,"Ford","F150",2009,0
"56",22,26,420810,2007-08-11,467784,"MALE","PhD","craft-repair","not-in-family",2015-01-06,"Single Vehicle Collision","Rear Collision","Minor Damage","NY","Arlington",3,"1",645,"Chevrolet","Silverado",1995,0
"57",439,56,524836,2008-11-20,606714,"FEMALE","PhD","prof-specialty","unmarried",2015-02-28,"Multi-vehicle Collision","Front Collision","Major Damage","SC","Columbus",12,"3",353,"Honda","CRV",2014,0
"58",94,32,307195,1995-10-18,464691,"FEMALE","Masters","adm-clerical","own-child",2015-02-22,"Parked Car","No collision","Minor Damage","VA","Riverwood",19,"1",5,"Chevrolet","Silverado",2014,0
"59",11,39,623648,1993-05-19,431683,"MALE","PhD","other-service","husband",2015-01-07,"Single Vehicle Collision","Front Collision","Total Loss","WV","Riverwood",22,"1",490,"Saab","93",2007,0
"60",151,36,485372,2005-02-26,431725,"FEMALE","MD","adm-clerical","own-child",2015-01-06,"Multi-vehicle Collision","Side Collision","Minor Damage","VA","Hillsdale",12,"3",445,"Ford","Escape",2000,0
"61",154,34,598554,1990-02-14,609216,"MALE","PhD","machine-op-inspct","other-relative",2015-01-10,"Multi-vehicle Collision","Rear Collision","Major Damage","NY","Springfield",15,"3",535,"Nissan","Maxima",2014,1
"62",245,44,303987,1993-09-30,452787,"MALE","JD","handlers-cleaners","husband",2015-02-11,"Multi-vehicle Collision","Side Collision","Total Loss","OH","Springfield",23,"3",205,"Honda","Accord",1997,0
"63",119,32,343161,2014-06-10,468767,"MALE","High School","armed-forces","unmarried",2015-01-12,"Single Vehicle Collision","Side Collision","Minor Damage","WV","Hillsdale",12,"1",349,"BMW","M5",2011,0
"64",215,42,519312,2008-10-28,435489,"MALE","JD","transport-moving","own-child",2015-02-06,"Multi-vehicle Collision","Front Collision","Major Damage","WV","Northbend",20,"3",522,"Suburu","Legacy",2003,1
"65",295,42,132902,2007-04-24,450149,"MALE","PhD","sales","not-in-family",2015-01-20,"Multi-vehicle Collision","Rear Collision","Total Loss","VA","Riverwood",16,"3",388,"Ford","Escape",2006,1
"66",254,39,332867,1993-12-13,458364,"FEMALE","MD","exec-managerial","other-relative",2015-02-22,"Multi-vehicle Collision","Front Collision","Minor Damage","NY","Arlington",6,"3",678,"Dodge","Neon",1995,1
"67",107,31,356590,2011-08-17,476458,"FEMALE","High School","tech-support","not-in-family",2015-01-30,"Single Vehicle Collision","Side Collision","Minor Damage","SC","Springfield",12,"1",720,"Audi","A5",2009,1
"68",478,64,346002,1990-08-20,602433,"FEMALE","Associate","adm-clerical","unmarried",2015-02-02,"Multi-vehicle Collision","Side Collision","Minor Damage","WV","Hillsdale",17,"3",140,"BMW","X6",1998,0
"69",128,30,500533,1994-02-11,478575,"MALE","MD","machine-op-inspct","own-child",2015-01-10,"Single Vehicle Collision","Front Collision","Major Damage","WV","Northbrook",8,"1",523,"Audi","A5",1997,0
